Timestamp,Expected_Time,Accel1_X,Accel1_Y,Accel1_Z,Accel1_Magnitude,Accel2_X,Accel2_Y,Accel2_Z,Accel2_Magnitude
2025-04-16 13:41:21.195682,0.545000,-0.005404,0.350644,0.675486,0.761092,-0.007022,0.317513,0.622163,0.698535
2025-04-16 13:41:21.222792,0.550000,-0.077034,0.168193,-0.093302,0.207192,-0.078288,0.135991,-0.142713,0.212107
2025-04-16 13:41:21.225550,0.555000,-0.106165,0.429747,0.342390,0.559629,-0.107271,0.396213,0.290762,0.503026
2025-04-16 13:41:21.235378,0.560000,-0.197639,0.319816,0.071086,0.382618,-0.198279,0.286841,0.020839,0.349323
2025-04-16 13:41:21.254470,0.565000,-0.109758,0.100180,-0.095745,0.176776,-0.110845,0.068323,-0.145143,0.194990
2025-04-16 13:41:21.255518,0.570000,-0.093635,0.189938,-0.193897,0.287124,-0.094805,0.157624,-0.242796,0.304604
2025-04-16 13:41:21.264788,0.575000,0.064670,0.286868,0.750225,0.805800,0.062695,0.254062,0.696522,0.744057
2025-04-16 13:41:21.265394,0.580000,0.074740,0.241843,0.768117,0.808751,0.072714,0.209266,0.714323,0.747889
2025-04-16 13:41:21.270356,0.585000,0.148197,-0.225434,0.215467,0.345267,0.145797,-0.255634,0.164485,0.337136
2025-04-16 13:41:21.285352,0.590000,0.207533,0.080093,0.661666,0.698059,0.204831,0.048339,0.608413,0.643785
2025-04-16 13:41:21.288893,0.595000,0.184286,0.417902,0.105898,0.468848,0.181702,0.384429,0.055474,0.428811
2025-04-16 13:41:21.291885,0.600000,0.157446,0.563918,-0.234667,0.630763,0.154998,0.529702,-0.283359,0.620404
2025-04-16 13:41:21.301887,0.605000,0.054171,-0.038515,0.745335,0.748293,0.052250,-0.069666,0.691657,0.697118
2025-04-16 13:41:21.303392,0.610000,0.029852,-0.272646,0.459649,0.535260,0.028054,-0.302605,0.407424,0.508283
2025-04-16 13:41:21.306263,0.615000,0.018700,-0.355500,0.195462,0.406122,0.016959,-0.385038,0.144582,0.411638
2025-04-16 13:41:21.316104,0.620000,-0.011730,0.182466,0.632524,0.658421,-0.013317,0.150190,0.579420,0.598717
2025-04-16 13:41:21.319686,0.625000,-0.008772,0.350568,0.736499,0.815724,-0.010374,0.317437,0.682866,0.753113
2025-04-16 13:41:21.320882,0.630000,-0.006418,0.419412,0.674881,0.794615,-0.008031,0.385931,0.621562,0.731674
2025-04-16 13:41:21.336696,0.635000,0.007165,-0.504929,0.710799,0.871918,0.005483,-0.533707,0.657297,0.846707
2025-04-16 13:41:21.338973,0.640000,-0.001899,-0.584725,0.648574,0.873244,-0.003535,-0.613096,0.595388,0.854627
2025-04-16 13:41:21.341108,0.645000,-0.013886,-0.563732,0.353838,0.665723,-0.015462,-0.592210,0.302152,0.665017
2025-04-16 13:41:21.355683,0.650000,-0.152990,0.515450,0.705885,0.887338,-0.153857,0.481481,0.652408,0.825307
2025-04-16 13:41:21.366692,0.655000,-0.216921,-0.225088,-0.139986,0.342513,-0.217463,-0.255290,-0.189159,0.385025
2025-04-16 13:41:21.368746,0.660000,-0.214685,-0.343317,0.185686,0.445461,-0.215239,-0.372917,0.134856,0.451199
2025-04-16 13:41:21.375745,0.665000,-0.167304,-0.187223,0.517290,0.575006,-0.168099,-0.217617,0.464772,0.540025
2025-04-16 13:41:21.378881,0.670000,-0.127966,0.095421,-0.001861,0.159637,-0.128961,0.063589,-0.051737,0.152811
2025-04-16 13:41:21.395358,0.675000,0.139550,-0.107010,0.235216,0.293687,0.137194,-0.137813,0.184133,0.267805
2025-04-16 13:41:21.410605,0.680000,0.209470,-0.056107,0.595020,0.633304,0.206758,-0.087168,0.542106,0.586708
2025-04-16 13:41:21.415358,0.685000,0.177633,0.358710,-0.128977,0.420549,0.175083,0.325538,-0.178206,0.410349
2025-04-16 13:41:21.426690,0.690000,0.062375,-0.040302,0.630219,0.634580,0.060412,-0.071444,0.577127,0.584662
2025-04-16 13:41:21.442378,0.695000,-0.012307,0.176594,0.407369,0.444169,-0.013891,0.144349,0.355410,0.383857
2025-04-16 13:41:21.443218,0.700000,-0.011710,0.258814,0.512494,0.574257,-0.013297,0.226150,0.460000,0.512758
2025-04-16 13:41:21.447445,0.705000,-0.004410,0.559051,0.453103,0.719625,-0.006033,0.524860,0.400912,0.660489
2025-04-16 13:41:21.463048,0.710000,0.004832,-0.466042,0.593745,0.754819,0.003162,-0.495018,0.540838,0.733184
2025-04-16 13:41:21.464046,0.715000,0.000825,-0.508857,0.562597,0.758585,-0.000825,-0.537615,0.509849,0.740929
2025-04-16 13:41:21.465576,0.720000,-0.006762,-0.536261,0.407594,0.673613,-0.008374,-0.564880,0.355635,0.667559
2025-04-16 13:41:21.484922,0.725000,-0.184999,0.288577,0.164950,0.380407,-0.185703,0.255762,0.114225,0.336076
2025-04-16 13:41:21.485541,0.730000,-0.189677,0.245791,0.056388,0.315547,-0.190358,0.213193,0.006215,0.285878
2025-04-16 13:41:21.486559,0.735000,-0.196701,0.165926,-0.119242,0.283622,-0.197346,0.133735,-0.168521,0.291941
2025-04-16 13:41:21.487661,0.740000,-0.203264,0.069826,-0.282931,0.355306,-0.203876,0.038124,-0.331377,0.390934
2025-04-16 13:41:21.501228,0.745000,-0.169260,-0.244830,0.396282,0.495611,-0.170045,-0.274931,0.344380,0.472335
2025-04-16 13:41:21.504470,0.750000,-0.129007,0.078026,-0.134927,0.202327,-0.129997,0.046282,-0.184126,0.230094
